Media,Bias Level,Environment,Plastic,Recycling,Recycle,Solar,Tesla
Buzzfeed News,1,0.182410927,0.32054019,1.99E-02,2.41E-01,0.048629907,0.12396941
New Republic,1,0.335189453,0.18668861,1.93E-01,1.96E-01,0.088660936,0.029268773
New Yorker,1,0,0.890943082,2.67E-01,2.37E-01,0.032745498,0.016714395
Refinery 29,1,0.138020989,0.640212549,0.447133687,6.53E-01,0.017477987,0.00E+00
Vice,1,0.648566438,0.625979328,0.721858899,5.59E-01,0.173690525,0.037106305
Vox,1,0.417844893,0.244933293,2.45E-01,3.19E-01,0.274580008,0.19142118
CNN,2,0.349779737,0.387581401,2.67E-01,2.73E-01,0.128111326,0.096313109
Economist,2,0.256629322,0.40701842,0.977351204,5.89E-01,0.252429105,0.096922522
Gizmodo,2,0.708884995,0.88565974,0.603136524,8.27E-01,1,0.318531451
Politico,2,0.179401972,0.00E+00,1.99E-02,0.00E+00,0.007463128,4.93E-03
The New York Times,2,0.177892175,0.355001398,0.40622002,2.80E-01,0.094870809,0.079471688
The Verge,2,0.454539882,0.650721459,0.622498853,7.28E-01,0.38615926,1
Washington Post,2,0.269512444,0.642647418,0.663806958,1.00E+00,0,0.104861265
Axios,3,0.389472534,0.226828522,2.74E-01,1.27E-01,0.615131272,0.468238672
Business Insider,3,0.458436677,0.788711855,0.359068841,8.61E-01,0.229386528,0.564912258
CNBC,3,1,0.230811405,0.479361581,3.37E-01,0.255656168,0.832665321
Reuters,3,0.702945614,0.243301029,0.554395387,2.32E-01,0.257319754,0.251506394
TechCrunch,3,0.884266796,0.247218268,0.386089913,4.12E-01,0.311703837,0.876308309
The Hill,3,0.515290315,0.563135301,1.33E-01,1.15E-01,0.134706256,0.032006639
Wired,3,0.70212892,1,1,8.42E-01,0.798221116,0.575040619
Fox News,4,0.148800039,0.426762672,0.00E+00,1.00E-01,0.119773958,0.064297756
